age,temp
48800,-8.585854545454545
48900,-8.584036363636363
49000,-8.582218181818181
49100,-8.580400000000001
49200,-8.568776978417267
49300,-8.554388489208634
49400,-8.54
49500,-8.525611510791366
49600,-8.511223021582733
49700,-8.492877697841728
49800,-8.460503597122303
49900,-8.428129496402878
50000,-8.395755395683453
50100,-8.363381294964029
50200,-8.331007194244604
50300,-8.334067495559502
50400,-8.355381882770871
50500,-8.376696269982238
50600,-8.398010657193606
50700,-8.419325044404973
50800,-8.44085561497326
50900,-8.469376114081996
51000,-8.497896613190731
51100,-8.526417112299464
51200,-8.5549376114082
51300,-8.583458110516935
51400,-8.606860254083484
51500,-8.623194192377495
51600,-8.639528130671506
51700,-8.655862068965517
51800,-8.672196007259528
51900,-8.688529945553539
52000,-8.680437828371279
52100,-8.669929947460595
52200,-8.659422066549913
52300,-8.64891418563923
52400,-8.638406304728546
52500,-8.629650959860385
52600,-8.627905759162305
52700,-8.626160558464223
52800,-8.624415357766143
52900,-8.622670157068063
53000,-8.620924956369983
53100,-8.615069930069929
53200,-8.604580419580419
53300,-8.594090909090909
53400,-8.583601398601399
53500,-8.573111888111889
53600,-8.562622377622379
53700,-8.56
53800,-8.56
53900,-8.56
54000,-8.56
54100,-8.56
54200,-8.56
54300,-8.53986906710311
54400,-8.51531914893617
54500,-8.490769230769232
54600,-8.466219312602291
54700,-8.441669394435353
54800,-8.417119476268413
54900,-8.439488817891373
55000,-8.481022364217253
55100,-8.522555910543131
55200,-8.56408945686901
55300,-8.605623003194887
55400,-8.647156549520767
55500,-8.68252045826514
55600,-8.710343698854338
55700,-8.738166939443536
55800,-8.765990180032734
55900,-8.79381342062193
56000,-8.821636661211128
56100,-8.846141215106732
56200,-8.864203612479475
56300,-8.882266009852216
56400,-8.900328407224958
56500,-8.918390804597701
56600,-8.936453201970442
56700,-8.935841423948219
56800,-8.8792071197411
56900,-8.82257281553398
57000,-8.76593851132686
57100,-8.709304207119741
57200,-8.65266990291262
57300,-8.5985346215781
57400,-8.577600644122382
57500,-8.556666666666667
57600,-8.53573268921095
57700,-8.514798711755233
57800,-8.493864734299517
57900,-8.472930756843802
58000,-8.439533011272141
58100,-8.404106280193238
58200,-8.368679549114333
58300,-8.333252818035428
58400,-8.297826086956523
58500,-8.262399355877617
58600,-8.248913043478261
58700,-8.247240802675586
58800,-8.24556856187291
58900,-8.243896321070235
59000,-8.242224080267558
59100,-8.240551839464883
59200,-8.22129144851658
59300,-8.193368237347295
59400,-8.165445026178011
59500,-8.137521815008727
59600,-8.10959860383944
59700,-8.081675392670157
59800,-7.912403100775194
59900,-7.734108527131783
60000,-7.555813953488372
60100,-7.377519379844961
60200,-7.199224806201551
60300,-7.021437125748503
60400,-6.843792415169661
60500,-6.666147704590818
60600,-6.488502994011975
60700,-6.3108582834331335
60800,-6.165292887029288
60900,-6.029309623430962
61000,-5.893326359832636
61100,-5.75734309623431
61200,-5.621359832635983
61300,-5.572950495049505
61400,-5.5254257425742574
61500,-5.47790099009901
61600,-5.430376237623762
61700,-5.382851485148515
61800,-5.259835051546392
61900,-5.132
62000,-5.004164948453608
62100,-4.876329896907216
62200,-4.755252747252747
62300,-4.702505494505494
62400,-4.649758241758241
62500,-4.597010989010989
62600,-4.544263736263736
62700,-4.514777562862669
62800,-4.505106382978723
62900,-4.495435203094777
63000,-4.485764023210831
63100,-4.476092843326885
63200,-4.436224066390041
63300,-4.3449377593361
63400,-4.253651452282158
63500,-4.1623651452282155
63600,-4.071078838174274
63700,-3.9959000000000002
63800,-3.9339000000000004
63900,-3.8719
64000,-3.8099000000000003
64100,-3.7479
64200,-3.748612716763006
64300,-3.8006358381502894
64400,-3.8526589595375724
64500,-3.9046820809248555
64600,-3.956705202312139
64700,-4.001683569979717
64800,-4.034137931034483
64900,-4.06659229208925
65000,-4.099046653144017
65100,-4.131501014198784
65200,-4.133333333333334
65300,-4.094573643410853
65400,-4.055813953488372
65500,-4.017054263565892
65600,-3.978294573643411
65700,-3.948969465648855
65800,-3.9451526717557255
65900,-3.9413358778625955
66000,-3.9375190839694656
66100,-3.933702290076336
66200,-3.929252669039146
66300,-3.9043416370106763
66400,-3.8794306049822067
66500,-3.8545195729537367
66600,-3.829608540925267
66700,-3.804697508896797
66800,-3.816306729264476
66900,-3.880469483568075
67000,-3.9446322378716747
67100,-4.008794992175274
67200,-4.072957746478873
67300,-4.137120500782473
67400,-4.201981707317073
67500,-4.3010670731707314
67600,-4.4001524390243905
67700,-4.499237804878049
67800,-4.598323170731707
67900,-4.697408536585366
68000,-4.796493902439024
68100,-4.882162601626016
68200,-4.952081300813008
68300,-5.022
68400,-5.091918699186992
68500,-5.161837398373984
